,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
0,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
4,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
5,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
6,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
7,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
8,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.25,0.75,L,L,L,0.125,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
9,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.25,0.75,L,L,L,0.125,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
10,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
3,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
11,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2633533d-4af6-441f-985f-2bd7b5433549,Language Specialist V3,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
