,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
0,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,5,U,Does the passage contain... (check all that apply):,U,U
1,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,5,U,Does the passage contain... (check all that apply):,U,U
2,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,5,U,Does the passage contain... (check all that apply):,U,U
3,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,1,5,U,Does the passage contain... (check all that apply):,U,U
4,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,1,checklist,U,1.0,0.0,U,U,U,0.5,0.5,0.5,1,5,U,Does the passage contain... (check all that apply):,U,U
5,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,9,ordinal,U,1.0,1.0,U,U,U,0.5,0.5,0.5,1,10,U,"How confident are you about your answers, on the whole?",U,U
6,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,01b87e78-c5b1-4590-a903-a22b36c82c9f,Beginner Reasoning Specialist Structured,10,ordinal,U,-inf,-inf,U,U,U,-inf,0.5,0.5,1,10,U,Please let us know if you have suggestions for how we might improve this task or its interface. Thank you for participating!,U,U
7,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,5,U,Does the passage contain... (check all that apply):,U,U
8,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,1,checklist,U,1.0,0.0,U,U,U,0.5,0.5,0.5,2,5,U,Does the passage contain... (check all that apply):,U,U
9,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,1,checklist,U,0.5,0.5,U,U,U,0.25,0.5,0.5,2,5,U,Does the passage contain... (check all that apply):,U,U
10,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,5,U,Does the passage contain... (check all that apply):,U,U
11,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,1,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,5,U,Does the passage contain... (check all that apply):,U,U
12,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,3,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,7,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U,U
13,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,3,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,7,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U,U
14,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,2439790b-4737-4221-9410-fae5ae72aa71,Beginner Reasoning Specialist Structured,3,checklist,U,0.0,1.0,U,U,U,0.0,0.5,0.5,2,7,U,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,U,U
