article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,1,0,checklist,L,0.0,1.0,L,L,L,0.0,12,5,L,Does the passage contain... (check all that apply):,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,1,0,checklist,L,0.25,0.75,L,L,L,0.125,12,5,L,Does the passage contain... (check all that apply):,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,1,0,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,12,5,L,Does the passage contain... (check all that apply):,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,1,43f7d278-bf80-4778-b234-800a61f82261,checklist,4,0.6666666666666666,0.33333333333333337,"[4843, 4844, 4845, 4846, 4847, 4848, 4849, 4850, 4851, 4852, 4853, 4854, 4855, 4856, 4857, 4858, 4859, 4860, 4861, 4862, 4863, 4864, 4865, 4866, 4867, 4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 4892, 4893, 4894, 4895, 4896, 4897, 4898, 4899, 4900, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4913, 4914, 4915, 4916, 4917, 4918, 4919, 4920, 4921, 4922, 4923]",0.7778836886135563,0.6294137807380566,0.7222751776401115,12,5,"it’s not so much about mistrust of science, as it is about mistrusting scientists",Does the passage contain... (check all that apply):,An effective critique of a reasoning error made by someone else
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,1,0,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,12,5,L,Does the passage contain... (check all that apply):,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,3,0,checklist,L,0.0,1.0,L,L,L,0.0,3,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,3,0,checklist,L,0.0,1.0,L,L,L,0.0,3,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,3,0,checklist,L,0.0,1.0,L,L,L,0.0,3,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,3,0,checklist,L,0.0,1.0,L,L,L,0.0,3,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,Reasoning Specialist V4,3,0,checklist,L,0.0,1.0,L,L,L,0.0,3,7,L,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,L
