article_num,article_sha256,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chancenum_users,num_answer_choices,target_text,question_text,answer_content
1730,2d6de61b,5,ordinal,U,1.0,1.0,U,U,U,0.5,0.1152,0.2543,2,3,U,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,U
1730,2d6de61b,6,checklist,U,0.5,0.5,U,U,U,0.25,0.7504,0.7504,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,1.0,0.0,U,U,U,0.5,0.2522,0.2522,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,0.5,0.5,U,U,U,0.25,0.7555,0.7555,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,2,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1730,2d6de61b,12,nominal,U,1.0,1.0,U,U,U,0.5,1.0,0.251,2,1,U,What is the best alternative explanation you can think of for the same set of evidence?,U
1734,337b76dd,5,ordinal,U,1.0,1.0,U,U,U,0.5,0.3324,0.5056,1,3,U,Is any of the bolded text used to support some kind of causal claim (i.e. a claim that one thing causes another)?,U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,1.0,0.0,U,U,U,0.5,0.4999,0.4999,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
1734,337b76dd,6,checklist,U,0.0,1.0,U,U,U,0.0,1,1,1,7,U,What kind of evidence is given for the causal claim? *Check all that apply.* Highlight sections of the article that illustrate each selection. (Hill's Criteria),U
