,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Language,2,,ordinal,2,-3.0,Metaphor unhelpful,167,100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,8834447e-41ad-41cc-9785-bd1d8311fab7,465537a5-aab7-4dd5-8ee3-b81dbb723ad0,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,d2cd9a46-efc7-4bf8-874c-992e3819a6de,ordinal,2,0.7648089362279381,0.7648089362279381,"[83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0, 100.0, 658.0, 659.0, 660.0, 661.0, 662.0, 663.0, 664.0, 665.0, 666.0, 667.0, 668.0, 669.0, 670.0, 671.0, 672.0, 673.0, 674.0, 675.0, 676.0, 1094.0, 1095.0, 1096.0, 1097.0, 1098.0, 1099.0, 1100.0, 1101.0, 1102.0, 1103.0, 1104.0, 1105.0, 1106.0, 1107.0, 1108.0, 1109.0, 1110.0, 1111.0, 1112.0, 1113.0, 1114.0, 1115.0, 1116.0]",0.5646149129706622,0.5646149129706622,0.7648089362279381,7,5,nan,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",CONSIDERABLY excessive/inappropriate,True,-2.294426808683814,Language
1,Language,3,,ordinal,2,-3.75,Exaggeration,215,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,8a155187-7903-4284-97a2-c40404008deb,07b49d8a-c03c-4a20-9221-8116e77694cf,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.7213895970999107,0.7213895970999107,"[43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 192.0, 193.0, 194.0, 195.0, 196.0, 197.0, 198.0, 199.0, 200.0, 303.0, 304.0, 305.0, 306.0, 307.0, 308.0, 309.0, 310.0, 311.0, 392.0, 393.0, 394.0, 395.0]",0.4616438697072015,0.4347920644997779,0.7213895970999107,21,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.705210989124665,Language
2,Language,3,,ordinal,2,-3.75,Exaggeration,191,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,887ec9e8-c7e0-4eed-8cbf-ad7fc96a60d5,a566bbf2-d2e9-487c-8b28-581bff5576a8,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.6060241658230539,0.6060241658230539,"[2550.0, 2551.0, 2552.0, 2553.0, 2554.0, 2555.0, 2556.0, 2557.0, 2558.0, 2559.0, 2560.0, 2561.0, 2562.0, 2563.0, 2564.0, 2565.0, 2566.0, 2567.0, 2568.0, 2569.0, 2570.0, 2571.0, 2572.0, 2573.0, 2574.0, 2575.0, 2576.0, 2577.0, 2578.0, 2579.0, 2580.0, 2581.0, 2582.0, 2583.0, 2584.0, 2585.0, 2586.0, 2587.0, 2588.0, 2589.0, 2590.0, 2591.0, 2592.0, 2593.0, 2594.0, 2595.0, 2596.0, 2597.0, 2598.0, 2599.0, 2600.0, 2601.0, 2602.0, 2603.0, 2604.0, 2605.0, 2606.0, 2607.0, 2608.0, 2609.0, 2610.0, 2611.0, 2612.0, 2613.0, 2614.0, 2615.0, 2616.0, 2617.0, 2618.0, 2619.0, 2620.0, 2621.0, 2622.0, 2623.0, 2624.0, 2625.0, 2626.0, 2627.0, 2628.0, 2629.0, 2630.0, 2631.0, 2632.0, 2633.0, 2634.0, 2766.0, 2767.0, 2768.0, 2769.0, 2770.0, 2771.0, 2772.0, 2773.0, 2774.0, 2775.0, 2776.0, 2777.0, 2778.0, 2779.0, 2780.0, 2781.0, 2782.0, 2783.0, 2784.0, 2785.0, 2786.0, 2787.0, 2788.0, 2789.0, 2790.0, 2791.0, 2792.0, 2793.0, 2794.0, 2795.0, 2796.0, 2797.0, 2798.0, 2799.0, 2800.0, 2801.0, 2802.0, 2803.0, 2804.0, 2805.0, 2806.0, 2807.0, 2808.0, 2809.0, 2810.0, 2811.0, 2812.0, 2813.0, 2814.0, 2815.0, 2816.0, 2817.0, 2818.0, 2819.0, 2820.0, 2821.0, 2822.0, 2823.0, 2824.0, 2825.0, 2826.0]",0.4604794523317923,0.4604794523317923,0.6060241658230539,13,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.2725906218364518,Language
3,Language,3,,ordinal,3,-2.5,Exaggeration,304,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,9e7f8607-da75-45e1-b618-440fe3babe2d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7253416481278447,0.7253416481278447,"[484.0, 485.0, 486.0, 487.0, 585.0, 586.0, 587.0, 588.0, 589.0, 590.0, 591.0, 592.0, 593.0, 594.0, 595.0, 596.0, 597.0, 598.0, 599.0, 600.0, 601.0, 602.0, 2167.0, 2168.0, 2169.0, 2170.0, 2171.0, 2172.0]",0.49849796881564146,0.49849796881564146,0.7253416481278447,33,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.813354120319612,Language
4,Language,3,,ordinal,3,-2.5,Exaggeration,78,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,430c7d69-746d-494a-ae25-abbf1c003b3b,88597571-f02b-41ec-9bc0-0454a244c226,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7572227820453934,0.7572227820453934,"[666.0, 667.0, 668.0, 669.0, 670.0, 671.0, 672.0, 673.0, 674.0, 675.0, 676.0, 677.0, 678.0, 679.0]",0.5006595078597793,0.5006595078597793,0.7572227820453934,18,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8930569551134835,Language
5,Language,3,,ordinal,3,-2.5,Exaggeration,101,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,6c7879c3-c0da-4b76-bd7b-8b766e6b353d,a361c9f7-0541-4471-8ab2-ecfa1c08be78,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.8571795400582324,0.8571795400582324,"[815.0, 816.0, 817.0, 818.0, 819.0, 820.0, 821.0, 822.0, 823.0, 824.0, 825.0, 826.0, 827.0, 828.0, 829.0]",0.6096429433121582,0.6096429433121582,0.8571795400582324,14,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.142948850145581,Language
6,Language,3,,ordinal,3,-2.5,Exaggeration,14,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,9746daf9-f0d4-4640-b660-dbbfc3c37b05,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7528465385427706,0.7528465385427706,"[407.0, 408.0, 409.0, 410.0, 411.0, 412.0, 413.0, 414.0, 918.0, 919.0, 920.0, 921.0, 922.0, 923.0, 924.0, 925.0, 1757.0, 1758.0, 1759.0, 1760.0, 1761.0, 1762.0, 1763.0, 1832.0, 1833.0, 1834.0, 1835.0, 1836.0, 1837.0, 1838.0, 2860.0, 2861.0, 2862.0, 2863.0, 2864.0, 2865.0, 2866.0, 2867.0, 3083.0, 3084.0, 3085.0, 3086.0, 3087.0, 3088.0, 3089.0, 3090.0]",0.3597095377979008,0.3597095377979008,0.7528465385427706,23,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8821163463569266,Language
7,Language,3,,ordinal,3,-2.5,Exaggeration,390,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,da7af1d8-5f23-4c4e-9f2a-f0bb35798aaf,07744457-9f78-4d5b-a41b-3822a44a1c20,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.8319532866619567,0.8319532866619567,"[779.0, 780.0, 781.0, 782.0, 783.0, 784.0, 785.0, 786.0, 787.0, 788.0, 789.0, 790.0, 791.0, 792.0, 793.0, 794.0, 795.0, 796.0, 797.0, 798.0, 799.0, 800.0, 801.0, 802.0, 803.0, 804.0, 805.0, 806.0, 807.0, 808.0, 809.0, 810.0, 811.0, 812.0, 813.0, 814.0, 815.0, 816.0, 817.0, 818.0, 819.0, 820.0, 821.0, 1316.0, 1317.0, 1318.0, 1319.0, 1320.0, 1321.0, 1322.0, 1323.0, 1324.0, 1325.0, 1326.0, 1327.0, 1328.0, 1329.0, 1341.0, 1342.0, 1343.0, 1344.0, 1345.0, 1346.0, 1347.0, 1348.0, 1349.0, 1350.0, 1351.0, 1352.0, 1353.0, 1354.0, 1355.0, 1356.0, 5015.0, 5016.0, 5017.0, 5018.0, 5019.0, 5020.0, 5021.0, 5022.0, 5023.0, 5024.0, 5025.0, 5026.0, 5027.0, 5028.0, 5029.0, 5030.0, 5031.0, 5032.0, 5033.0, 5034.0, 5035.0, 5036.0, 5037.0, 5038.0, 5039.0, 5040.0, 5041.0, 5042.0, 5043.0, 5044.0, 5045.0, 5046.0, 5047.0, 5048.0, 5049.0, 5050.0, 5051.0, 5052.0, 5053.0, 5054.0, 5055.0, 5056.0, 5057.0, 5058.0, 5059.0, 5060.0, 5061.0, 5062.0, 5063.0, 5064.0, 5065.0, 5066.0, 5067.0, 5068.0, 5069.0, 5070.0, 5071.0, 5072.0, 5073.0, 5074.0, 5075.0, 5076.0, 5077.0, 5078.0, 5079.0, 5080.0, 5081.0, 5082.0, 5083.0, 5084.0]",0.397324184171963,0.397324184171963,0.8319532866619567,15,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.0798832166548915,Language
8,Language,5,,ordinal,3,-3.0,Inappropriately emotional,391,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,da7af1d8-5f23-4c4e-9f2a-f0bb35798aaf,07744457-9f78-4d5b-a41b-3822a44a1c20,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,102522c9-cba2-4a51-9e08-154e7ce3ae36,ordinal,3,0.6895514695049142,0.6895514695049142,"[534.0, 535.0, 536.0, 537.0, 538.0, 539.0, 540.0, 541.0, 542.0, 543.0, 544.0, 545.0, 546.0, 547.0, 548.0, 549.0, 550.0, 551.0, 552.0, 553.0, 554.0, 555.0, 556.0, 557.0, 558.0, 559.0, 560.0, 561.0, 562.0, 563.0, 564.0, 565.0, 566.0, 567.0, 568.0, 569.0, 570.0, 571.0, 572.0, 573.0, 777.0, 778.0, 779.0, 780.0, 781.0, 782.0, 783.0, 784.0, 785.0, 786.0, 787.0, 788.0, 789.0, 790.0, 791.0, 792.0, 793.0, 794.0, 795.0, 796.0, 797.0, 798.0, 799.0, 800.0, 801.0, 802.0, 803.0, 804.0, 805.0, 806.0, 807.0, 808.0, 809.0, 810.0, 811.0, 812.0, 813.0, 814.0, 815.0, 816.0, 817.0, 818.0, 819.0, 820.0, 821.0, 1316.0, 1317.0, 1318.0, 1319.0, 1320.0, 1321.0, 1322.0, 1323.0, 1324.0, 1325.0, 1326.0, 1327.0, 1328.0, 1329.0, 1332.0, 1333.0, 1334.0, 1335.0, 1336.0, 1337.0, 1338.0, 1339.0, 1340.0, 1341.0, 1342.0, 1343.0, 1344.0, 1345.0, 1346.0, 1347.0, 1348.0, 1349.0, 1350.0, 1351.0, 1352.0, 1353.0, 1354.0, 1355.0, 1356.0, 5015.0, 5016.0, 5017.0, 5018.0, 5019.0, 5020.0, 5021.0, 5022.0, 5023.0, 5024.0, 5025.0, 5026.0, 5027.0, 5028.0, 5029.0, 5030.0, 5031.0, 5032.0, 5033.0, 5034.0, 5035.0, 5036.0, 5037.0, 5038.0, 5039.0, 5040.0, 5041.0, 5042.0, 5043.0, 5044.0, 5045.0, 5046.0, 5047.0, 5048.0, 5049.0, 5050.0, 5051.0, 5052.0, 5053.0, 5054.0, 5055.0, 5056.0, 5057.0, 5058.0, 5059.0, 5060.0, 5061.0, 5062.0, 5063.0, 5064.0, 5065.0, 5066.0, 5067.0, 5068.0, 5069.0, 5070.0, 5071.0, 5072.0, 5073.0, 5074.0, 5075.0, 5076.0, 5077.0, 5078.0, 5079.0, 5080.0, 5081.0, 5082.0, 5083.0, 5084.0]",0.3781953796826565,0.3781953796826565,0.6895514695049142,16,5,nan,How strong is the emotional tone?,Moderate,True,-2.0686544085147425,Language
9,Language,9,,ordinal,4,-0.25,Inappropriate slang,308,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,9e7f8607-da75-45e1-b618-440fe3babe2d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.7684726520317376,0.7684726520317376,"[180.0, 181.0, 182.0, 183.0, 184.0, 185.0, 186.0, 187.0, 188.0, 189.0, 190.0, 191.0, 192.0, 193.0, 844.0, 845.0, 846.0, 847.0, 848.0, 849.0, 850.0, 851.0, 852.0, 853.0, 854.0, 855.0, 856.0, 857.0]",0.6665300296181598,0.6665300296181598,0.7684726520317376,26,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-0.1921181630079344,Language
