quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
33945257-1dc1-4015-90ab-c0a03e8056b8,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1110,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,90a0deee-ce70-478a-b5d3-6c5f5c0e64e3,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",4,Emotional tone (including expletives),06f46cfa-402a-4a50-b70c-d3e50c599469,90a0deee-ce70-478a-b5d3-6c5f5c0e64e3,Emotional tone (including expletives),1,633,641,shocking,2342
33945257-1dc1-4015-90ab-c0a03e8056b8,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1110,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6c58ae27-3363-4ce8-9bac-0feecc802d53,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,6,Which of the following emotions does the passage express? Check all that apply.,8,Other,2edd725d-bb9e-4fce-ade2-ce476ea56f43,6c58ae27-3363-4ce8-9bac-0feecc802d53,Other,1,633,641,shocking,2342
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,f7d9bffe-bd61-48c3-9070-53666140f26f,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",2,Exaggeration,18f72e54-4606-4cd1-8d4e-7e34ca0fed65,f7d9bffe-bd61-48c3-9070-53666140f26f,Exaggeration,1,279,290,far simpler,3769
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,1c059f48-47fa-4991-9560-3b50f51b07b1,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",9,Other unnecessary or misleading coloring of language,83eced2b-6c6e-4ec6-9a8d-894eb3e6b6bf,1c059f48-47fa-4991-9560-3b50f51b07b1,Other unnecessary or misleading coloring of language,1,438,466,miserably counting imaginary,3769
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,36977035-76fc-436a-8178-bca05c1a92c2,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",9,Other unnecessary or misleading coloring of language,83eced2b-6c6e-4ec6-9a8d-894eb3e6b6bf,36977035-76fc-436a-8178-bca05c1a92c2,Other unnecessary or misleading coloring of language,2,1183,1197,civilised hour,3769
78799041-7e21-4256-8d76-8f049c72e90d,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1112,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,8dfb7b12-ec8f-4773-bca6-bda5ed4809f9,f9c04b64-a008-41c0-a832-a02b9975c57c,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",9,Other unnecessary or misleading coloring of language,83eced2b-6c6e-4ec6-9a8d-894eb3e6b6bf,8dfb7b12-ec8f-4773-bca6-bda5ed4809f9,Other unnecessary or misleading coloring of language,1,5646,5721,Because I don't have to tell you that Nobel Prizes aren't given out lightly,6532
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,b188dbee-4eb4-410a-90ba-889d0a5f32d0,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",9,Other unnecessary or misleading coloring of language,83eced2b-6c6e-4ec6-9a8d-894eb3e6b6bf,b188dbee-4eb4-410a-90ba-889d0a5f32d0,Other unnecessary or misleading coloring of language,1,438,472,miserably counting imaginary sheep,3769
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,f02250c6-6784-4595-a78e-d2f107e89e30,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",4,Emotional tone (including expletives),06f46cfa-402a-4a50-b70c-d3e50c599469,f02250c6-6784-4595-a78e-d2f107e89e30,Emotional tone (including expletives),1,1183,1197,civilised hour,3769
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,f02250c6-6784-4595-a78e-d2f107e89e30,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,LanguageSpecialist_2018_07_25,1,Language Specialist V2,1,"Which of the following appears in the bolded text to the left? Check all that apply, and highlight the part of the passage in which you see each.",4,Emotional tone (including expletives),06f46cfa-402a-4a50-b70c-d3e50c599469,f02250c6-6784-4595-a78e-d2f107e89e30,Emotional tone (including expletives),1,1183,1192,civilised,3769
9212426d-a0a6-4da3-a62d-28943533bf22,http://pe.goodlylabs.org/project/PreAlphaLanguage/task/1111,SSSPETest2,1734,1734SSSArticle.txt,337b76ddf39e3d9bce2f9af74ec716da60a029b3d83d217b2a01b8973f10ce9f,45fbe4fa-9bf7-473c-aee2-b4b7cfdcfe2b,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,LanguageSpecialist_2018_07_25,1,Language Specialist V2,6,Which of the following emotions does the passage express? Check all that apply.,5,"Vindictiveness, spite",e1ff9387-3f22-499e-90a6-1bd188fce99f,45fbe4fa-9bf7-473c-aee2-b4b7cfdcfe2b,"Vindictiveness, spite",1,1183,1192,civilised,3769
