,article_num,article_sha256,task_uuid,Question_Number,Answer_Number,highlighted_indices,Point_Recommendation,Points,Label
4,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,2,2,[],-0.5,-0.4493097219288431,Inappropriate confidence
5,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,2,2,[],-0.5,-0.4682831974566028,Inappropriate confidence
7,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,4,3,[],-1.0,-1.0,Numeric context
8,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,4,3,[],-1.0,-1.0,Numeric context
9,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,4,3,[],-1.0,-0.9686934259082154,Numeric context
10,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,ab6f246a-8c21-4bb3-9c4b-a67165984442,4,3,[],-1.0,-0.9270080510332016,Numeric context
11,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b329f062-5e7f-4402-9591-5e839b647eee,4,3,[],-1.0,-1.0,Numeric context
12,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,5,1,[],-2.0,-1.8731327898264112,False precision
13,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,54919edd-083b-4f17-8100-d78580294bea,5,1,[],-2.0,-1.8230148166888371,False precision
14,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,ab6f246a-8c21-4bb3-9c4b-a67165984442,5,1,[],-2.0,-1.952078944360944,False precision
18,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,7,1,[],1.0,0.8,Open to evidence
19,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,7,3,[],1.0,1.0,Open to evidence
20,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,54919edd-083b-4f17-8100-d78580294bea,7,3,[],1.0,1.0,Open to evidence
21,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,ab6f246a-8c21-4bb3-9c4b-a67165984442,7,3,[],1.0,0.8571428571428571,Open to evidence
