warticle_numwarticle_sha256wtask_uuidwschema_namespacewquestion_Numberwquestion_typew"agreed_Answer"wcoding_perc_agreementw"one_two_diff"whighlighted_indiceswalpha_unitizing_scorewalpha_unitizing_score_inclusivewagreement_scorewodds_by_chancewbinary_odds_by_chancewnum_usersw"num_answer_choices"wtarget_textwquestion_textw"answer_content"
0w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.1111111111111111w0.8888888888888888wLwLwLw0.05555555555555555w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
1w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.1111111111111111w0.8888888888888888wLwLwLw0.05555555555555555w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
2w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
3w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.1111111111111111w0.8888888888888888wLwLwLw0.05555555555555555w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
4w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistw5w0.7777777777777778w0.2222222222222222w[633 634 635 636 637 638 639 640]w0.40018821642254154w0.40018821642254154w0.5889829971001597w0.5w0.5w9w13wshockingw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wShock or surprise
5w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
6w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
7w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
8w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
9w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.2222222222222222w0.7777777777777778wLwLwLw0.1111111111111111w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
10w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
11w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
12w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w9w13wLw"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each."wL
13w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w2wordinalw5w1.0w1.0w[]www1.0w0.5w0.5w9w5ww"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is...."wNOT AT ALL excessive/inappropriate
14w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w3wordinalw3w1.0w1.0w[]www1.0w0.5w0.5w9w5ww"How much does the exaggeration misrepresent reality?"wSome misrepresentation
15w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w5wordinalw3w1.0w1.0w[]www1.0w0.5w0.5w9w5ww"How strong is the emotional tone?"wModerate
16w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w6wnominalwUw1.0w1.0wUwUwUw0.5w0.5w0.5w1w8wUw"Which of the following emotions does the passage express? Check all that apply."wU
17w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w7wnominalwUw1.0w1.0wUwUwUw0.5w0.5w0.5w1w1wUwWhat other emotion does the passage express?wU
18w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w12wordinalw1w0.9530460454090544w0.9530460454090544w"[1691 1692 1693 1694 1695 1696 1697 1698 1699 1700 1701 1702 1703 1704
 1705 1706 2085 2086 2087 2088 2089]"w-0.002855103497501954w-0.002855103497501954w0.4750954709557762w0.5w0.5w9w3wbut there’s more//spentwDoes the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.wNope
19w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w13wordinalw4w0.9510903995190536w0.9510903995190536w[]www0.9510903995190536w0.5w0.5w9w5ww"How misleading or otherwise problematic is the colorful language?"wVery Mildly
20w1737wc35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97w755877c4-7dc1-401e-894a-04b9d70e70e7wLanguage Specialist V3w15wordinalw7w0.8123129365921242w0.8123129365921242w[]www0.8123129365921242w0.5w0.5w9w10ww"How confident are you about your answers, on the whole?"w7
