warticle_numwarticle_sha256wtask_uuidwschema_namespacewquestion_Numberwquestion_typew"agreed_Answer"wcoding_perc_agreementw"one_two_diff"whighlighted_indiceswalpha_unitizing_scorewalpha_unitizing_score_inclusivewagreement_scorewodds_by_chancewbinary_odds_by_chancewnum_usersw"num_answer_choices"wtarget_textwquestion_textw"answer_content"
0w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw1wchecklistwMw0.375w0.625wMwMwMw0.1875w0.5w0.5w8w5wMwDoes the passage contain... (check all that apply):wM
1w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w8w5wLwDoes the passage contain... (check all that apply):wL
2w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w8w5wLwDoes the passage contain... (check all that apply):wL
3w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw1wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w8w5wLwDoes the passage contain... (check all that apply):wL
4w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw1wchecklistwMw0.625w0.375wMwMwMw0.3125w0.5w0.5w8w5wMwDoes the passage contain... (check all that apply):wM
5w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w3w6wLw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wL
6w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwLw0.3333333333333333w0.6666666666666667wLwLwLw0.16666666666666666w0.5w0.5w3w6wLw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wL
7w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwMw0.6666666666666666w0.33333333333333337wMwMwMw0.3333333333333333w0.5w0.5w3w6wMw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wM
8w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w3w6wLw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wL
9w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwLw0.3333333333333333w0.6666666666666667wLwLwLw0.16666666666666666w0.5w0.5w3w6wLw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wL
10w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw2wchecklistwLw0.0w1.0wLwLwLw0.0w0.5w0.5w3w6wLw"Does the argument contain any of the following misleading forms of reasoning? Check all that apply."wL
11w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw7wordinalw3w0.9565229009958894w0.9565229009958894w[]www0.9565229009958894w0.5w0.5w8w5ww"How misleading is the argument?"w"Somewhat"
12w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw8wnominalwUw1.0w1.0wUwUwUw0.5w0.5w0.5w1w1wUw"You said that there was an ""Other"" form of misleading reasoning. Briefly describe what is wrong with it."wU
13w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw9wordinalw1w0.8730354988712986w0.8730354988712986w[]www0.8730354988712986w0.5w0.5w8w10ww"How difficult was this task for you, on the whole?"w1: Easier than anything I've ever done in a classroom setting
14w1712w38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2cw0d0134d8-41e1-4070-9f39-008f905280b0wBeginner Reasoning Specialist Structuredw10wordinalw6w0.8005196193643366w0.8005196193643366w[]www0.8005196193643366w0.5w0.5w8w10ww"How confident are you about your answers, on the whole?"w6
