,Answer_Number,Key Question,Label,Point_Recommendation,Question_Number,Question_Number_V2,Question_Type,Schema,Unnamed: 0,Unnamed: 0.1,agreed_Answer,agreement_adjusted_points,agreement_score,alpha_unitizing_score,alpha_unitizing_score_inclusive,answer_content,answer_uuid_x,answer_uuid_y,arg_T1.Q1,arg_case_number,arg_match_score,arg_offsets,article_num,article_sha256,coding_perc_agreement,highlighted_indices,num_answer_choices,num_users,one_two_diff,points,prereq_passed,question_text,question_type,quiz_task_uuid,schema,schema_namespace,schema_sha256,source_T1.Q1,source_T1.Q2,source_T1.Q3,source_T1.Q4,source_match_score,src_case_number,src_offsets,target_text,tua_uuid
0,2.0,,Very Biased,-2.0,2.0,,ordinal,Overall,0.0,41.0,2.0,-1.3814105385399311,0.6907052692699656,,,Very biased,,0ca38e4b-7559-4aa7-ab44-868f49244d12,0.0,0.0,0.0,0.0,100039.0,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,0.6907052692699656,[],5.0,5.0,0.6907052692699656,-1.3814105385399311,1.0,"Given everything you know about the world, how *biased* does the article seem to you, overall?",ordinal,91db25cf-af96-4653-9cd0-09953983d3c4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,2.0,,Very Biased,-2.0,2.0,,ordinal,Overall,1.0,21.0,2.0,-1.250758053014374,0.625379026507187,,,Very biased,,0ca38e4b-7559-4aa7-ab44-868f49244d12,0.0,0.0,0.0,0.0,100040.0,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,0.625379026507187,[],5.0,5.0,0.625379026507187,-1.250758053014374,1.0,"Given everything you know about the world, how *biased* does the article seem to you, overall?",ordinal,6375834d-682b-489b-8000-b6c6e60c45f9,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,5.0,,Circumspect,1.0,2.0,,ordinal,Overall,2.0,1.0,5.0,0.7890195072541117,0.7890195072541117,,,Not at all biased,,5e5c35ea-e965-41c3-921c-0a75f87fc648,0.0,0.0,0.0,0.0,100041.0,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,0.7890195072541117,[],5.0,6.0,0.7890195072541117,0.7890195072541117,1.0,"Given everything you know about the world, how *biased* does the article seem to you, overall?",ordinal,34429049-6872-4f6c-b569-ef68127979a4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,1.0,,Good Title,2.0,6.0,,ordinal,Overall,3.0,58.0,1.0,0.6836742566545242,0.3418371283272621,0.14596923076923074,0.14596923076923074,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,100039.0,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,0.5377050258852935,"[, , , 1, , , , 2, , , , 3, ..., 3467, 3468, 3469]",5.0,5.0,0.5377050258852935,0.6836742566545242,1.0,Does the title match the text?,ordinal,91db25cf-af96-4653-9cd0-09953983d3c4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"000000Doctor Tells CNN Trump’s Walter Reed Medical Visit Was Fishy000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000WE’RE NOT GOING TO GET INTO SECURITY AND MOVEMENT PROTOCOLS WHEN IT COMES TO THE PRESIDENT, BUT AS MY STATEMENTS SAID HE’S IN GOOD HEALTH AND IT WAS A ROUTINE CHECKUP AS PART OF HIS ANNUAL PHYSICAL. I’VE GIVEN PLENTY OF ON THE RECORD STATEMENTS THAT WERE TRUTHFUL AND ACCURATE — ACTIVELY TRYING TO FIND AND REPORT CONSPIRACY THEORIES REALLY NEEDS TO STOP0000Grisham said that Trump underwent a “quick exam and labs” although several experts familiar with White House medical procedures said that routine labs can be performed at the White House’s on-site medical clinic.

On Sunday morning, Trump tweeted that he does not plan to finish his physical exam until next year000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",
4,1.0,,Good Title,2.0,6.0,,ordinal,Overall,4.0,38.0,1.0,1.708107262628804,0.8540536313144019,,,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,100040.0,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,0.8540536313144019,[],5.0,5.0,0.8540536313144019,1.708107262628804,1.0,Does the title match the text?,ordinal,6375834d-682b-489b-8000-b6c6e60c45f9,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,1.0,,Good Title,2.0,6.0,,ordinal,Overall,5.0,18.0,1.0,2.0,1.0,,,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,100041.0,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,1.0,[],5.0,6.0,1.0,2.0,1.0,Does the title match the text?,ordinal,34429049-6872-4f6c-b569-ef68127979a4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,10.0,,Celebrity Gossip,-10.0,3.0,,checklist,Overall,6.0,51.0,10.0,-3.9298553266111362,0.3929855326611136,-0.014028934677772886,-0.014028934677772886,Celebrity Gossip,,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,0.0,0.0,0.0,0.0,100039.0,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,0.8,"[, , , 1, , , , 2, , , , 3, ..., 3467, 3468, 3469]",11.0,5.0,0.2,-3.9298553266111362,1.0,What type of article is this?,checklist,91db25cf-af96-4653-9cd0-09953983d3c4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000000Doctor Tells CNN Trump’s Walter Reed Medical Visit Was Fishy0000000000000000000000000000000000000000000000000000There has been speculation for awhile regarding Mr. Trump’s physical health due to the fact that he is obese and seems to live on a fast food diet0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
7,10.0,,Celebrity Gossip,-10.0,3.0,,checklist,Overall,7.0,31.0,10.0,-0.0,0.0,,,Celebrity Gossip,,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,0.0,0.0,0.0,0.0,100040.0,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,0.0,[],11.0,5.0,1.0,-0.0,1.0,What type of article is this?,checklist,6375834d-682b-489b-8000-b6c6e60c45f9,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8,10.0,,Celebrity Gossip,-10.0,3.0,,checklist,Overall,8.0,11.0,10.0,-0.0,0.0,,,Celebrity Gossip,,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,0.0,0.0,0.0,0.0,100041.0,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,0.0,[],11.0,6.0,1.0,-0.0,1.0,What type of article is this?,checklist,34429049-6872-4f6c-b569-ef68127979a4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Reasoning,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
