article_num,article_sha256,question_Number,agreed_Answer,coding_Score,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,target_text
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,1.0,U,U,U,0.5,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,1.0,U,U,U,0.5,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,1.0,U,U,U,0.5,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,1.0,U,U,U,0.5,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,1,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.5,U,U,U,0.25,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.5,U,U,U,0.25,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.5,U,U,U,0.25,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,2,U,0.0,U,U,U,0.0,2,U
1730,2d6de61b16c3ade370a26e2c410c884184c1272615b2be897518a54592c00cfd,3,U,1.0,U,U,U,0.5,2,U
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,2,1.0,[],NA,NA,1.0,5,NA
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,4,1.0,[],NA,NA,1.0,5,NA
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,L,0.2,L,L,L,0.1,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,M,0.6,M,M,M,0.3,5,M
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,1,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,M,0.6,M,M,M,0.3,5,M
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,M,0.4,M,M,M,0.2,5,M
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,3,0.8,[],NA,NA,0.8,5,NA
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,2,L,0.0,L,L,L,0.0,5,L
1733,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,3,3,0.9465428402678155,[],NA,NA,0.9465428402678155,5,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,2,1.0,[],NA,NA,1.0,4,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,4,0.75,[],NA,NA,0.75,4,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,5,1.0,[],NA,NA,1.0,4,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,6,1.0,[],NA,NA,1.0,4,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,1,L,0.25,L,L,L,0.125,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,1,1.0,[],NA,NA,1.0,4,NA
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,M,0.3333333333333333,M,M,M,0.16666666666666666,4,M
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
