task_pybossa_id,taskrun_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,contributor_id,anno_id,topic_namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,24,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,3,Medium credibility,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,25,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,3,Somewhat Representative,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,26,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,3,A little bit clickbaity,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,27,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,6,"Defying convention (“Think Orange Juice is Good for you? Think Again!”, “Here are 5 Foods You Never Thought Would Kill You”)",0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,28,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,29,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",4,Organizations,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,30,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,1,Cited Organization 1,0,434,460,American Heart Association,3362
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,31,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,3,Somewhat justified,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,32,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,33,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,34,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,35,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,36,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,37,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,38,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",3,No,0,0,0,,0
