,article_num,article_sha256,task_uuid,Question_Number,Answer_Number,highlighted_indices,Point_Recommendation,Points,Label,schema
4,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,2,2,[],-0.5,-0.4493097219288431,Inappropriate confidence,Probability
5,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,2,2,[],-0.5,-0.4682831974566028,Inappropriate confidence,Probability
7,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,01704bec-d385-4105-a236-4530cf502975,4,3,[],-1.0,-1.0,Numeric context,Probability
8,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,4,3,[],-1.0,-1.0,Numeric context,Probability
9,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,4,3,[],-1.0,-0.9686934259082154,Numeric context,Probability
10,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,ab6f246a-8c21-4bb3-9c4b-a67165984442,4,3,L,-1.0,-0.4635040255166008,Numeric context,Probability
11,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b329f062-5e7f-4402-9591-5e839b647eee,4,3,[],-1.0,-1.0,Numeric context,Probability
12,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2e08fd28-52e2-48d3-803d-d1c60bd67611,5,1,"[2637, 2638, 2639, 2640, 2641, 2642, 2643, 2644, 2645, 2646, 2647, 2648, 2649, 2650, 2651, 2652, 2653, 2654, 2655, 2656, 2657, 2658, 2659, 2660, 2661, 2662, 2663, 2664, 2665, 2666, 2667, 2668, 2669, 2670, 2671, 2672, 2673, 2674, 2675, 2676, 2677, 2678, 2679, 2680, 2681, 2682]",-2.0,-1.267071181684311,False precision,Probability
13,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,54919edd-083b-4f17-8100-d78580294bea,5,1,[],-2.0,-1.8230148166888371,False precision,Probability
14,1721,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,ab6f246a-8c21-4bb3-9c4b-a67165984442,5,1,"[1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818, 1819, 1820, 1821, 1822, 1823, 1824, 1825, 1826, 1827, 1828, 1829, 1830, 1831, 1832, 1833, 1834, 1835, 1836, 1837, 1838, 1839, 1840, 1841, 1842, 1843, 1844, 1845, 1846, 1847, 1848, 1849, 1850, 1851, 1852, 1853, 1854, 1855, 1856, 1857, 1858, 1859, 1860, 1861, 1862, 1863, 1864, 1865, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882, 1883, 1884, 1885, 1886, 1887, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895, 1896, 1897, 1898, 1899, 1900, 1901]",-2.0,-1.1210458993546255,False precision,
